Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Arnab,www,playback,/watch/81511410?trackId=14170287&tctx=1%2C2%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C81511410%2CVideo%3A81511410%2CminiDpPlayButton,/watch/81511426?trackId=14170287,2024-05-13 10:41:06
Arnab,www,browseTitles,,/browse,2024-05-13 10:41:03
Arnab,www,browseTitles,/browse,/browse?jbv=81511410,2024-05-13 10:41:03
Arnab,www,profilesGate,,/browse,2024-05-13 10:40:56
Arnab,www,browseTitles,,/browse,2024-05-13 10:40:56
Arnab,www,browseTitles,,/browse,2024-05-13 09:00:34
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C81cbbce2-2aca-47f4-883f-94f91ff7296a-189520476%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-7B98042005_p_1715590827193%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715590825120%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-13 09:00:34
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C81cbbce2-2aca-47f4-883f-94f91ff7296a-189520476%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-7B98042005_p_1715590827193%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715590825120%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-13 09:00:34
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2C81cbbce2-2aca-47f4-883f-94f91ff7296a-189520476%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-7B98042005_p_1715590827193%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715590825120%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286860?trackId=14170286,2024-05-13 09:00:34
Arnab,www,profilesGate,,/browse,2024-05-13 09:00:27
Arnab,www,browseTitles,,/browse,2024-05-13 09:00:27
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C1%2C028072b7-cdf3-4549-a54f-7c49f7f260cf-178243934%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-3834C11D0A_p_1715579658701%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715579656348%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-13 05:54:25
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C1%2C028072b7-cdf3-4549-a54f-7c49f7f260cf-178243934%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-3834C11D0A_p_1715579658701%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715579656348%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286860?trackId=14170286,2024-05-13 05:54:25
Arnab,www,browseTitles,,/browse,2024-05-13 05:54:24
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C1%2C028072b7-cdf3-4549-a54f-7c49f7f260cf-178243934%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-3834C11D0A_p_1715579658701%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715579656348%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-13 05:54:24
Arnab,www,browseTitles,,/browse,2024-05-13 05:54:18
Arnab,www,profilesGate,,/browse,2024-05-13 05:54:17
Arnab,www,movieDetails,/search?q=one%20p,/search?q=one%20p&jbv=80998780,2024-05-12 19:52:52
Arnab,www,search,/search?q=one%20p&jbv=80998780,/search?q=one%20p,2024-05-12 19:52:52
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-12 19:52:39
Arnab,www,search,/search?q=one%20p,/search?q=one%20p&jbv=80998780,2024-05-12 19:52:39
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-12 19:52:19
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-12 19:52:19
Arnab,www,search,/search?q=o,/search?q=on,2024-05-12 19:52:18
Arnab,www,search,/search?q=on,/search?q=one,2024-05-12 19:52:18
Arnab,www,search,/browse,/search?q=o,2024-05-12 19:52:18
Arnab,www,search,/search?q=o,/search?q=on,2024-05-12 19:52:18
Arnab,www,search,/search?q=on,/search?q=one,2024-05-12 19:52:18
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-12 19:52:18
Arnab,www,browseTitles,,/browse,2024-05-12 19:52:17
Arnab,www,search,/browse,/search?q=o,2024-05-12 19:52:17
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-12 19:20:20
Arnab,www,playback,/search?q=one%20p,/watch/80998781?trackId=255824129&tctx=0%2C1%2Cc5bbf66d-a069-4b7e-8ab5-4c29fdc16fd9-290619375%2Cc5bbf66d-a069-4b7e-8ab5-4c29fdc16fd9-290619375%7C2%2Cunknown%2C%2C%2CtitlesResults%2C80998781%2CVideo%3A80998781%2CminiDpPlayButton,2024-05-12 19:20:20
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-12 19:19:50
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-12 19:19:50
Arnab,www,search,/search?q=o,/search?q=on,2024-05-12 19:19:49
Arnab,www,search,/search?q=on,/search?q=one,2024-05-12 19:19:49
Arnab,www,search,/search?q=on,/search?q=one,2024-05-12 19:19:49
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-12 19:19:49
Arnab,www,browseTitles,/watch/70286860?trackId=14170286,/browse,2024-05-12 19:19:48
Arnab,www,search,/browse,/search?q=o,2024-05-12 19:19:48
Arnab,www,search,/browse,/search?q=o,2024-05-12 19:19:48
Arnab,www,search,/search?q=o,/search?q=on,2024-05-12 19:19:48
Arnab,www,playback,/watch/70286859?trackId=14170286,/watch/70286860?trackId=14170286,2024-05-12 19:19:43
Arnab,www,browseTitles,/watch/70286860?trackId=14170286,/browse,2024-05-12 19:19:43
